City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Smirnykh,RU,49.75,142.83,62.64,89,100,3.87,overcast clouds
297,Kalemie,CD,-5.95,29.19,69.04,82,6,9.04,clear sky
298,Hulan,CN,45.98,126.6,73.0,79,100,2.75,overcast clouds
299,Esperance,AU,-33.87,121.9,68.0,56,0,23.04,clear sky
300,Yarada,IN,17.65,83.27,84.2,79,75,6.93,mist
301,Taltal,CL,-25.4,-70.48,56.75,64,0,5.44,clear sky
302,Burgeo,CA,47.62,-57.62,55.54,76,90,20.36,light rain
303,Liverpool,GB,53.41,-2.98,54.0,68,98,1.01,overcast clouds
304,Otradnoye,RU,59.78,30.82,54.0,99,100,6.51,overcast clouds
305,Havelock,US,34.88,-76.9,82.99,83,1,10.29,clear sky
306,Filimonovo,RU,56.2,95.46,63.7,64,36,4.56,scattered clouds
307,Tigil,RU,57.8,158.67,53.58,69,98,9.89,overcast clouds
308,San Quintin,MX,30.48,-115.95,75.81,66,45,6.62,scattered clouds
309,Makakilo City,US,21.35,-158.09,87.8,45,75,8.05,broken clouds
310,Cururupu,BR,-1.83,-44.87,75.31,96,11,4.43,light rain
311,Nanakuli,US,21.39,-158.15,87.8,45,75,8.05,broken clouds
312,Srivardhan,IN,18.03,73.02,80.44,81,90,7.36,overcast clouds
313,Yumen,CN,40.28,97.2,72.55,19,100,15.95,overcast clouds
314,Pangai,TO,-19.8,-174.35,78.8,65,40,12.75,scattered clouds
315,Quelimane,MZ,-17.88,36.89,71.6,94,40,2.24,scattered clouds
316,Yeovil,GB,50.94,-2.63,57.2,93,48,4.7,scattered clouds
317,Ilulissat,GL,69.22,-51.1,37.4,74,87,1.12,overcast clouds
318,Vila Franca Do Campo,PT,37.72,-25.43,71.6,83,20,1.5,few clouds
319,Ilheus,BR,-14.79,-39.05,68.34,92,37,3.27,light rain
320,Benghazi,LY,32.12,20.07,77.76,78,0,10.4,clear sky
321,Kondinskoye,RU,59.65,67.41,59.63,89,74,10.22,broken clouds
322,Viedma,AR,-40.81,-63.0,54.09,42,95,11.45,overcast clouds
323,Sao Joao Da Barra,BR,-21.64,-41.05,71.02,89,15,6.78,light rain
324,Kaitangata,NZ,-46.28,169.85,54.0,56,100,6.82,overcast clouds
325,Madison,US,34.73,-86.57,75.2,94,20,3.36,few clouds
326,Shenjiamen,CN,29.96,122.3,81.55,85,100,12.19,overcast clouds
327,Sitka,US,57.05,-135.33,57.2,67,90,13.87,light rain
328,Bangahan,PH,7.8,124.73,77.94,78,97,2.86,moderate rain
329,Srandakan,ID,-7.94,110.25,85.17,59,18,12.1,few clouds
330,Neon Karlovasion,GR,37.79,26.7,78.8,54,0,5.82,clear sky
331,Flin Flon,CA,54.77,-101.86,59.07,61,100,2.64,overcast clouds
332,Axim,GH,4.87,-2.24,75.49,86,100,12.15,overcast clouds
333,Erenhot,CN,43.65,111.98,74.19,46,0,9.62,clear sky
334,Sisimiut,GL,66.94,-53.67,48.16,69,85,4.94,overcast clouds
335,Tasiilaq,GL,65.61,-37.64,33.8,76,100,5.82,overcast clouds
336,Bereda,ES,43.27,-7.54,61.0,100,43,1.99,scattered clouds
337,Dunedin,NZ,-45.87,170.5,53.01,70,70,4.0,broken clouds
338,Burnie,AU,-41.07,145.92,56.71,56,51,12.62,broken clouds
339,Luderitz,NA,-26.65,15.16,52.16,77,0,10.98,clear sky
340,Krasnaya Gora,RU,53.0,31.6,60.8,93,90,13.42,light intensity shower rain
341,Lihula,EE,58.68,23.85,48.29,78,30,2.93,scattered clouds
342,Anadyr,RU,64.75,177.48,53.6,76,75,8.95,shower rain
343,Prince Rupert,CA,54.32,-130.32,59.0,77,90,8.05,light rain
344,Shenandoah,US,30.4,-91.0,80.01,90,66,8.72,moderate rain
345,Tongzi,CN,28.78,105.09,89.51,64,60,1.88,broken clouds
346,Ketchikan,US,55.34,-131.65,57.2,82,90,18.34,overcast clouds
347,Srednekolymsk,RU,67.45,153.68,46.6,78,99,11.12,light rain
348,Umm Lajj,SA,25.02,37.27,81.52,65,99,2.77,overcast clouds
349,Aljezur,PT,37.32,-8.8,63.0,95,21,12.03,few clouds
350,Camocim,BR,-2.9,-40.84,75.92,82,0,12.21,clear sky
351,Bud,US,39.45,-86.18,78.01,94,1,6.93,clear sky
352,Moctezuma,MX,29.8,-109.67,84.81,33,0,2.68,clear sky
353,Maposeni,TZ,-10.58,35.4,62.87,79,92,5.73,overcast clouds
354,Muli,MV,2.92,73.57,83.66,68,99,7.76,overcast clouds
